runner_id,age,gender,running_experience_months,previous_marathon_count,training_program,motivation_level,personal_best_minutes,weekly_mileage_miles,runs_per_week,long_run_distance_km,speed_work_sessions_per_week,rest_days_per_week,training_adherence_pct,consecutive_weeks_no_miss,cross_training_hours_per_week,resting_heart_rate_bpm,vo2_max,bmi,recovery_score,sleep_hours_avg,injury_count,injury_severity,nutrition_score,hydration_consistency,training_streak_days,missed_workout_pct,early_morning_run_frequency,weather_condition_training_pct,goal_completion_rate,run_club_attendance_rate,warmup_adherence_pct,stretching_adherence_pct,marathon_date,marathon_weather,course_difficulty,target_finish_time_minutes,actual_finish_time_minutes,mental_preparation_score,medal_outcome,dnf,is_first_marathon,vo2_max_was_missing,cross_training_hours_per_week_was_missing,nutrition_score_was_missing,hydration_consistency_was_missing,sleep_hours_avg_was_missing,implausible_volume,medal,goal_gap
R060107,45,Female,9,2,Beginner,6,231.0,12.4,4,15.0,2,3,81,12,0.0,80,47.67518905393697,24.2,8.2,6.7,0,None,7.0,4.0,105,19,19,43,64,19,68,88,2025-02-01,Cold,Mixed,222,263.0,8,0,0,0,0,0,0,0,0,0,0,41.0
R051932,45,Male,67,2,Advanced,4,211.0,12.4,5,15.0,2,2,94,13,10.0,59,67.40021733704066,28.3,4.5,7.9,0,None,5.0,4.0,87,6,22,2,79,34,91,27,2024-02-28,Windy,Mixed,240,272.0,6,1,0,0,0,0,0,0,0,0,1,32.0
R021491,59,Male,6,2,Beginner,2,297.0,12.4,5,15.0,1,2,73,10,3.9,80,44.30703735462975,24.3,4.7,7.3,0,None,9.0,7.0,42,27,33,23,49,9,48,71,2024-03-03,Rainy,Hilly,277,327.0,8,0,0,0,0,0,0,0,0,0,0,50.0
R018255,50,Male,29,4,Intermediate,5,259.0,16.8,4,15.0,1,3,56,9,0.0,53,72.69646616249635,23.0,5.8,7.3,0,None,6.0,6.0,62,29,26,15,61,8,65,72,2024-10-16,Hot,Mixed,235,252.0,9,3,0,0,0,0,1,0,0,0,1,17.0
R032893,28,Male,39,2,Intermediate,5,306.0,12.4,5,15.0,1,2,94,13,7.3,65,53.55743104202453,25.2,8.2,6.6,0,None,4.0,7.0,87,6,0,24,100,52,54,59,2024-01-23,Cloudy,Mixed,261,284.0,6,2,0,0,1,0,0,0,0,0,1,23.0
R050041,58,Male,32,0,Intermediate,2,,15.1,5,16.4,1,2,93,7,2.6,80,38.08174205238724,25.6,3.9,7.6,3,Severe,8.0,7.0,95,23,13,0,71,17,37,95,2025-04-27,Sunny,Mixed,264,319.0,9,0,0,1,0,0,0,0,0,0,0,55.0
R002188,42,Female,31,2,Intermediate,8,197.0,24.0,5,19.3,1,2,74,13,1.8,78,47.98139255443983,21.7,5.4,6.7,0,None,7.0,6.0,103,26,40,47,83,34,37,63,2025-11-19,Cold,Mixed,202,240.0,6,0,0,0,0,0,0,0,0,0,0,38.0
R060019,19,Female,75,2,Advanced,1,236.0,12.4,6,15.0,2,1,64,11,0.0,77,50.30720023185559,22.2,8.9,8.5,0,None,6.0,2.0,39,36,36,9,70,0,26,21,2024-09-23,Sunny,Hilly,203,240.0,4,0,0,0,0,0,1,0,0,0,0,37.0
R097969,25,Male,6,5,Beginner,10,238.0,24.0,3,15.0,1,3,83,15,0.0,80,38.80279305874374,23.3,7.7,6.3,0,None,6.0,10.0,42,17,66,57,69,51,44,56,2025-05-11,Cold,Mixed,261,301.0,7,0,0,0,0,0,0,0,0,0,0,40.0
R005090,38,Female,6,1,Beginner,5,283.0,12.4,3,15.0,1,3,82,14,2.2,80,42.0303943423872,23.1,6.7,7.1,1,Moderate,4.0,5.0,63,18,15,14,57,19,56,70,2024-12-06,Rainy,Mixed,259,,10,0,1,0,0,0,0,0,0,0,0,
R033720,63,Female,51,1,Intermediate,3,245.0,12.4,4,15.0,1,3,57,16,0.4,48,71.28465894864854,22.1,7.0,7.0,2,Severe,6.0,2.0,86,8,32,31,71,47,42,78,2025-09-12,Sunny,Flat,235,255.0,8,3,0,0,0,0,1,0,1,0,1,20.0
R087926,35,Male,55,0,Intermediate,4,,30.1,6,15.0,1,1,68,14,7.6,73,57.65947969433624,20.5,6.8,8.6,2,Moderate,6.0,6.0,63,32,0,0,50,4,71,81,2024-08-04,Windy,Flat,221,266.0,8,0,0,1,0,0,0,0,0,0,0,45.0
R083627,42,Male,67,1,Advanced,1,213.0,27.8,4,21.4,1,3,67,12,0.1,80,49.46962911487149,22.2,7.4,6.9,0,None,9.0,6.0,57,33,21,10,25,0,7,67,2025-09-22,Cloudy,Hilly,193,227.0,8,0,0,0,0,1,0,0,0,0,0,34.0
R085650,39,Male,106,4,Advanced,2,213.0,12.4,4,15.0,2,3,64,8,0.7,71,56.951374611395096,24.5,7.2,7.0,0,None,5.0,6.0,99,36,14,28,65,2,48,34,2025-01-01,Cloudy,Flat,199,225.0,6,1,0,0,0,0,0,0,1,0,1,26.0
R064220,45,Male,160,1,Advanced,9,217.0,38.0,6,15.0,2,1,82,10,9.4,75,53.55743104202453,24.8,9.4,5.9,0,None,2.0,8.0,77,18,76,63,79,82,44,56,2025-09-07,Cloudy,Mixed,193,218.0,4,2,0,0,1,0,0,0,0,0,1,25.0
R098283,27,Female,9,1,Beginner,8,317.0,12.4,4,15.0,1,3,91,12,2.5,80,35.0,18.3,2.902099964358527,5.272527453218649,1,Minor,6.0,10.0,50,9,50,6,69,46,85,38,2025-03-11,Rainy,Hilly,286,342.0,7,0,0,0,0,0,0,0,0,0,0,56.0
R050512,50,Male,47,1,Intermediate,2,259.0,12.4,4,15.0,1,3,72,13,0.0,62,53.55743104202453,21.6,6.8,7.3,0,None,4.0,8.0,48,28,5,30,85,0,5,25,2024-08-25,Hot,Flat,233,265.0,5,1,0,0,1,0,0,0,0,0,1,32.0
R007458,38,Male,30,3,Intermediate,10,245.0,28.5,5,15.0,0,2,92,13,0.0,80,53.55743104202453,18.5,6.3,7.9,1,Severe,5.0,6.0,89,8,61,69,64,55,78,66,2025-12-20,Rainy,Mixed,221,281.0,8,0,0,0,1,0,0,1,0,0,0,60.0
R073495,24,Female,25,2,Intermediate,10,277.0,29.3,6,15.0,1,1,100,15,3.6,76,52.04733488043205,21.4,7.9,7.8,0,None,7.0,5.0,112,0,75,23,35,67,100,49,2024-02-19,Cloudy,Mixed,251,277.0,7,2,0,0,0,0,0,0,0,0,1,26.0
R033938,43,Male,17,2,Beginner,4,294.0,12.4,4,15.0,0,3,77,13,0.0,80,50.095510515712334,25.0,8.0,5.7,0,None,6.0,5.0,98,23,49,24,20,37,79,46,2025-07-14,Cold,Flat,271,308.0,6,0,0,0,0,0,0,0,0,0,0,37.0
R084106,44,Female,11,5,Beginner,10,249.0,27.6,3,15.0,0,3,100,16,0.2,80,40.33964590966831,22.6,6.0,8.8,0,None,7.0,8.0,112,0,64,28,75,100,80,68,2025-10-07,Hot,Flat,251,286.0,5,0,0,0,0,0,0,0,0,0,0,35.0
R018680,18,Male,60,2,Intermediate,9,225.0,22.1,6,15.0,2,1,96,11,0.0,77,50.374008721268986,28.3,7.1,6.3,1,Moderate,6.0,9.0,112,4,56,35,90,43,55,49,2024-11-05,Hot,Hilly,248,302.0,9,0,0,0,0,0,1,0,0,0,0,54.0
R045561,43,Male,30,5,Intermediate,4,265.0,12.4,4,15.0,2,3,67,12,0.0,80,42.45105807605938,20.6,7.1,7.0,0,None,6.0,4.0,39,33,27,28,75,31,40,65,2024-09-01,Sunny,Hilly,249,290.0,3,0,0,0,0,0,0,0,0,0,0,41.0
R004960,43,Female,62,0,Advanced,7,,12.4,5,15.0,1,2,89,16,0.0,80,47.74683387033683,21.6,7.1,5.2,2,Minor,8.0,3.0,112,11,41,27,65,60,80,98,2024-04-04,Rainy,Mixed,226,266.0,4,0,0,1,0,0,0,0,0,0,0,40.0
R022678,31,Female,74,4,Advanced,9,215.0,18.8,4,17.3,2,3,98,13,0.1,63,73.7716805011984,27.1,6.5,7.8,0,None,6.0,6.0,66,2,33,75,61,66,76,59,2025-12-23,Cloudy,Hilly,204,230.0,1,2,0,0,0,1,0,1,0,0,1,26.0
R043265,25,Non-binary,32,5,Intermediate,5,268.0,20.0,4,15.0,1,3,97,12,0.0,76,62.35481612023855,24.3,8.3,6.2,0,None,6.0,6.0,70,3,49,16,86,61,49,91,2025-06-16,Cloudy,Mixed,262,286.0,8,2,0,0,0,0,0,0,0,0,1,24.0
R073446,43,Female,24,3,Beginner,5,266.0,15.5,4,15.0,0,3,79,11,0.0,80,43.930285051490905,18.9,5.4,7.5,0,None,6.0,5.0,41,21,11,41,52,50,58,44,2025-10-02,Rainy,Hilly,259,305.0,8,0,0,0,0,0,1,0,0,0,0,46.0
R090941,53,Male,7,1,Beginner,7,263.0,12.6,5,15.0,1,2,93,16,0.0,80,53.55743104202453,25.5,3.1,8.4,0,None,6.0,5.0,48,7,47,9,99,0,74,83,2024-11-27,Cloudy,Mixed,253,290.0,6,0,0,0,1,0,0,0,0,0,0,37.0
R049975,59,Male,11,2,Beginner,9,246.0,12.4,5,15.0,1,2,79,11,0.6,80,43.34380604840833,27.2,1.484325167741244,5.224361624453165,1,Minor,6.0,6.0,65,21,38,59,65,35,56,28,2025-07-02,Rainy,Flat,235,287.0,7,0,0,0,0,0,1,0,0,0,0,52.0
R073831,35,Female,31,3,Intermediate,9,256.0,40.5,5,30.3,2,2,72,7,1.0,74,56.25732178181263,25.0,7.4,6.9,0,None,5.0,6.0,42,28,42,45,60,41,66,32,2024-08-31,Rainy,Hilly,243,281.0,6,0,0,0,0,0,0,0,0,0,0,38.0
R020069,30,Male,14,2,Beginner,8,330.0,34.2,3,16.1,1,3,87,14,3.9,71,53.55743104202453,24.2,9.6,5.8,0,None,3.0,6.0,112,13,32,26,55,97,82,72,2024-06-28,Cold,Mixed,312,344.0,7,1,0,0,1,0,0,0,0,0,1,32.0
R073317,51,Female,82,0,Advanced,1,,12.4,5,15.0,2,2,82,10,1.8,80,47.81591670312998,27.2,5.3,6.2,0,None,7.0,6.0,82,18,11,0,64,0,40,94,2024-07-22,Windy,Hilly,204,248.0,7,0,0,1,0,0,0,0,0,0,0,44.0
R084136,39,Male,52,1,Intermediate,9,246.0,16.1,5,15.0,1,2,96,16,4.9,79,56.14744308726006,23.5,8.1,5.9,0,None,4.0,5.0,90,4,71,47,79,66,89,70,2024-09-23,Cloudy,Flat,239,260.0,7,3,0,0,0,0,0,0,0,0,1,21.0
R008777,43,Female,39,6,Intermediate,10,261.0,18.0,5,15.0,1,2,95,13,0.0,68,65.19128055106034,20.3,4.3,7.2,0,None,4.0,3.0,62,5,86,42,100,65,82,66,2024-11-27,Sunny,Mixed,240,266.0,6,2,0,0,0,0,0,0,0,0,1,26.0
R017737,23,Male,50,1,Intermediate,1,244.0,12.4,4,15.0,1,3,71,9,0.0,76,53.06591297305644,18.7,9.9,7.5,1,Minor,8.0,5.0,86,29,0,4,59,4,98,25,2025-12-21,Hot,Mixed,251,297.0,5,0,0,0,0,0,0,0,0,0,0,46.0
R042095,22,Male,13,2,Beginner,9,269.0,12.4,5,15.0,1,2,86,13,0.6,80,53.06598015729115,20.5,7.6,9.0,0,None,5.0,2.0,57,14,49,39,55,100,96,55,2024-12-27,Rainy,Flat,254,287.0,6,1,0,0,0,0,0,0,0,0,1,33.0
R090174,35,Male,80,1,Advanced,4,219.0,12.4,5,15.0,1,2,80,14,0.0,68,67.02158991324328,22.0,7.8,6.6,0,None,7.0,8.0,96,20,42,5,59,61,71,80,2025-01-30,Hot,Mixed,215,247.0,7,1,0,0,0,0,0,0,0,0,1,32.0
R073621,24,Male,6,2,Beginner,1,301.0,12.4,4,15.0,1,3,85,12,0.0,79,49.29264455441045,22.8,7.1,5.9,0,None,9.0,8.0,94,15,0,9,63,2,68,51,2024-11-30,Rainy,Mixed,281,320.0,9,0,0,0,0,0,0,0,0,0,0,39.0
R036500,25,Female,24,0,Beginner,3,,12.4,4,15.0,0,3,59,8,0.0,62,62.07380997945227,23.5,7.6,5.9,0,None,6.0,7.0,78,41,7,0,63,18,16,32,2024-07-14,Cloudy,Flat,291,318.0,7,1,0,1,0,0,0,0,0,0,1,27.0
R018935,35,Male,132,7,Advanced,10,216.0,40.5,4,16.0,1,3,91,16,0.0,78,49.8568558379438,20.4,6.8,7.5,0,None,5.0,5.0,73,9,30,19,51,92,72,67,2024-07-14,Sunny,Flat,213,231.0,9,3,0,0,0,0,0,0,0,0,1,18.0
R048718,41,Female,49,5,Intermediate,5,268.0,17.2,4,15.0,1,3,88,13,9.4,80,57.68856902172245,26.3,8.0,5.3,0,None,6.0,2.0,59,12,17,0,66,58,58,70,2025-05-25,Windy,Mixed,253,286.0,6,1,0,0,0,0,1,0,0,0,1,33.0
R070909,20,Female,12,3,Beginner,4,271.0,12.4,4,15.0,1,3,95,12,0.1,80,49.05831636866131,23.1,9.8,8.2,0,None,9.0,7.0,63,5,16,32,72,8,71,100,2025-10-08,Cold,Hilly,277,319.0,5,0,0,0,0,1,0,0,0,0,0,42.0
R074551,52,Female,6,2,Beginner,10,288.0,13.9,3,15.0,1,3,77,11,0.0,80,52.47022323684834,21.0,4.9,8.4,0,None,6.0,7.0,90,23,33,82,40,67,68,56,2024-03-16,Sunny,Hilly,285,326.0,6,0,0,0,0,0,1,0,0,0,0,41.0
R034650,29,Female,8,1,Beginner,5,277.0,12.4,4,15.0,0,3,71,12,3.4,79,53.55743104202453,19.8,8.1,6.5,0,None,2.0,7.0,53,29,31,8,49,40,46,45,2025-08-24,Cold,Hilly,263,311.0,3,0,0,0,1,0,0,0,0,0,0,48.0
R004939,62,Male,21,1,Beginner,2,300.0,12.4,4,15.0,1,3,85,14,0.0,80,50.543875642205386,22.1,3.2,7.2,1,Minor,2.0,9.0,46,15,0,21,91,19,81,46,2025-09-27,Rainy,Hilly,283,336.0,7,0,0,0,0,0,0,0,0,0,0,53.0
R040132,51,Female,50,1,Intermediate,8,272.0,12.7,3,15.0,2,3,84,14,2.2,80,49.0793037868467,22.4,7.6,6.7,0,None,2.0,7.0,73,16,23,58,68,47,71,37,2025-10-07,Windy,Hilly,245,288.0,9,0,0,0,0,0,0,0,0,0,0,43.0
R090201,36,Male,6,1,Beginner,10,261.0,18.0,5,20.1,0,2,100,16,0.0,80,43.280355986506585,24.2,4.3,6.2,0,None,8.0,1.0,49,0,48,35,91,89,100,78,2024-05-21,Cold,Flat,276,309.0,6,1,0,0,0,0,0,0,0,0,1,33.0
R032641,23,Male,99,1,Advanced,3,209.0,12.4,5,15.0,2,2,81,14,2.6,76,57.76338533017477,23.2,8.2,6.3,0,None,5.0,7.0,75,19,20,2,38,0,55,40,2025-08-17,Sunny,Flat,217,241.0,7,2,0,0,0,0,0,0,0,0,1,24.0
R071255,48,Male,181,1,Advanced,4,191.0,12.4,3,15.0,1,3,80,14,3.8,70,53.55743104202453,23.3,8.1,5.1,0,None,4.0,2.0,56,20,30,31,82,49,57,79,2025-10-26,Sunny,Flat,174,195.0,8,3,0,0,1,0,0,0,0,0,1,21.0
R018502,36,Male,42,3,Intermediate,5,236.0,12.4,6,15.0,2,1,74,12,2.8,60,73.86464005934589,25.0,8.0,6.3,0,None,4.0,9.0,80,26,26,9,57,18,51,61,2025-07-10,Rainy,Mixed,253,286.0,5,1,0,0,0,0,0,0,0,0,1,33.0
R031750,18,Female,10,1,Beginner,2,276.0,12.4,3,15.0,1,3,61,4,0.0,78,53.90572492139838,18.0,8.9,6.8,0,None,5.0,2.0,87,39,5,15,68,0,54,10,2025-12-19,Cloudy,Flat,270,304.0,3,0,0,0,0,0,0,0,0,0,0,34.0
R002358,56,Female,14,2,Beginner,8,265.0,38.4,4,21.0,0,3,78,10,0.0,73,53.55743104202453,22.4,6.6,8.4,1,Minor,7.0,7.0,63,22,27,45,54,71,69,78,2025-06-12,Sunny,Mixed,268,303.0,4,0,0,0,1,0,0,0,0,0,0,35.0
R040498,57,Male,25,4,Intermediate,8,244.0,19.6,5,15.0,1,2,74,12,0.0,80,43.0816752352018,30.3,5.4,7.2,0,None,5.0,6.0,81,26,25,55,69,59,73,59,2024-01-10,Sunny,Flat,223,257.0,4,0,0,0,0,0,0,0,0,0,0,34.0
R004256,35,Female,14,3,Beginner,6,306.0,12.4,4,15.0,1,3,66,10,0.0,68,53.55743104202453,26.4,9.4,7.0,1,Minor,6.0,4.0,70,34,57,40,55,40,74,21,2025-10-24,Cloudy,Flat,287,318.0,7,1,0,0,1,0,0,0,1,0,1,31.0
R087849,26,Male,11,1,Beginner,5,297.0,12.4,4,15.0,2,3,76,12,1.2,80,53.55743104202453,24.7,7.1,7.3,0,None,8.0,4.0,88,24,31,7,51,43,52,69,2025-06-06,Cloudy,Flat,255,287.0,10,1,0,0,1,0,0,0,0,0,1,32.0
R081960,23,Non-binary,36,3,Intermediate,3,235.0,12.4,5,16.1,1,2,81,14,3.2,77,60.15733226914423,25.8,8.6,7.4,2,Severe,6.0,6.0,79,19,8,35,33,8,44,91,2025-10-05,Hot,Mixed,233,293.0,2,0,0,0,0,0,0,0,0,0,0,60.0
R027551,61,Male,19,1,Beginner,6,272.0,12.4,4,15.0,1,3,81,14,0.0,63,69.22293338875039,22.9,2.6,8.4,0,None,6.0,7.0,72,19,65,26,60,84,43,12,2025-12-15,Cloudy,Flat,273,297.0,7,2,0,0,0,0,1,0,0,0,1,24.0
R052701,39,Female,12,1,Beginner,2,303.0,18.3,5,15.5,1,2,83,13,4.1,72,51.2902458409144,22.3,8.1,7.2,1,Minor,6.0,6.0,29,17,0,0,66,31,49,61,2024-06-14,Hot,Mixed,290,338.0,1,0,0,0,0,0,0,1,0,0,0,48.0
R070815,29,Female,6,3,Beginner,1,252.0,12.4,5,15.0,0,2,70,10,8.2,75,55.82303004447791,23.9,7.4,5.4,0,None,3.0,7.0,47,30,24,7,29,11,51,93,2024-06-10,Cold,Mixed,258,300.0,9,0,0,0,0,0,0,0,0,0,0,42.0
R037806,52,Male,94,4,Advanced,10,210.0,28.3,6,15.0,1,1,89,12,0.1,69,64.62012966484865,25.7,5.8,6.3,0,None,6.0,9.0,75,11,57,1,100,26,58,88,2025-10-13,Windy,Hilly,220,255.0,6,0,0,0,0,1,0,0,0,0,0,35.0
R085171,25,Male,12,2,Beginner,7,281.0,21.1,4,17.7,1,3,93,14,2.3,78,51.20149330912486,20.4,10.0,7.7,0,None,7.0,5.0,73,7,11,67,91,47,84,57,2024-06-03,Rainy,Flat,266,296.0,6,1,0,0,0,0,0,0,0,0,1,30.0
R004493,22,Female,6,6,Beginner,5,290.0,12.4,4,15.0,0,3,80,13,0.0,80,50.069832636813736,21.4,7.4,6.4,0,None,6.0,6.0,64,20,39,12,72,2,68,45,2024-07-18,Windy,Mixed,264,308.0,3,0,0,0,0,0,0,0,0,0,0,44.0
R074942,31,Male,25,4,Intermediate,4,323.0,21.4,5,15.0,1,2,73,10,0.7,70,63.30003794523671,21.1,5.4,6.6,0,None,8.0,5.0,53,27,23,8,36,0,73,35,2024-05-25,Cloudy,Mixed,258,290.0,2,1,0,0,0,0,0,0,0,0,1,32.0
R001754,18,Female,10,2,Beginner,8,299.0,34.9,5,20.5,0,2,73,11,0.0,77,54.921511401977845,22.6,9.6,6.7,1,Minor,6.0,4.0,73,27,42,51,43,12,85,38,2024-08-25,Cloudy,Flat,267,300.0,6,0,0,0,0,0,1,0,0,0,0,33.0
R077895,34,Female,6,2,Beginner,7,274.0,25.9,4,16.1,1,3,94,14,0.0,74,59.59040115754867,25.8,10.0,6.9,0,None,10.0,3.0,107,6,47,39,79,80,81,62,2025-06-26,Cold,Mixed,251,281.0,7,1,0,0,0,0,0,0,0,0,1,30.0
R015235,52,Male,62,0,Advanced,4,,16.9,6,15.0,2,1,61,10,1.8,80,53.55743104202453,26.8,5.6,8.5,0,None,6.0,6.0,25,39,30,10,53,26,42,38,2024-03-05,Hot,Hilly,180,228.0,4,0,0,1,1,0,1,0,0,0,0,48.0
R091284,60,Female,6,1,Beginner,5,250.0,15.9,4,15.0,1,3,92,13,0.4,80,48.90918233727567,25.9,5.3,5.9,0,None,4.0,9.0,60,8,10,21,84,48,22,71,2025-04-15,Cloudy,Flat,270,301.0,7,1,0,0,0,0,0,0,0,0,1,31.0
R076940,53,Female,15,4,Beginner,4,297.0,12.4,3,15.0,0,3,74,13,0.0,78,51.98530973218611,21.6,5.9,7.1,1,Moderate,6.0,10.0,81,26,25,2,56,65,49,80,2025-06-01,Hot,Flat,288,342.0,8,0,0,0,0,0,0,0,0,0,0,54.0
R065159,65,Non-binary,51,1,Intermediate,3,262.0,12.4,4,15.0,2,3,67,9,0.0,80,45.48010764161564,21.1,2.0,7.5,1,Minor,1.0,6.0,64,33,43,12,60,21,61,80,2025-05-12,Sunny,Flat,229,270.0,6,0,0,0,0,0,0,1,0,0,0,41.0
R073083,63,Male,16,2,Beginner,4,294.0,12.4,4,15.0,1,3,76,10,0.1,80,46.4414680181899,23.1,5.2,8.7,0,None,4.0,10.0,63,24,15,10,70,33,46,71,2024-12-03,Cloudy,Mixed,274,313.0,4,0,0,0,0,1,0,0,0,0,0,39.0
R086236,25,Female,83,2,Advanced,5,233.0,35.7,6,21.3,2,1,100,15,0.0,72,59.35560844561469,19.6,10.0,6.5,0,None,3.0,6.0,105,0,50,27,97,96,100,36,2024-03-07,Cloudy,Flat,204,217.0,7,3,0,0,0,0,0,1,0,0,1,13.0
R074800,42,Male,6,3,Beginner,9,312.0,25.5,4,15.0,0,3,84,11,0.1,80,45.8203793343062,27.7,8.1,5.2,0,None,2.0,7.0,73,16,37,21,57,65,98,2,2025-06-01,Cold,Flat,286,323.0,6,0,0,0,0,1,0,0,0,0,0,37.0
